time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-06-12T08:15:07.840Z,33.605,-116.6151667,14.99,0.41,ml,20,57,0.01738,0.12,ci,ci38637008,2019-06-12T17:02:57.387Z,"8km NE of Anza, CA",earthquake,0.3,0.44,0.103,9,reviewed,ci,ci
2019-06-12T08:12:45.570Z,40.7353325,-124.2779999,18.52,2.34,md,11,194,0.2057,0.13,nc,nc73196421,2019-06-12T09:37:02.973Z,"8km W of Humboldt Hill, CA",earthquake,1.23,0.98,0.07,7,automatic,nc,nc
2019-06-12T08:08:34.140Z,20.007,-155.9364929,11.06,2.21,md,18,276,0.2261,0.22,hv,hv70992221,2019-06-12T08:11:54.040Z,"14km NW of Waikoloa Village, Hawaii",earthquake,1.51,0.78,0.09,3,automatic,hv,hv
2019-06-12T08:06:23.410Z,38.3866653,-122.2228317,9.33,2.81,md,65,55,0.1122,0.19,nc,nc73196411,2019-06-12T16:05:22.040Z,"11km NNE of Napa, CA",earthquake,0.25,0.8,0.14,62,automatic,nc,nc
2019-06-12T08:03:26.520Z,46.2585,-111.5278333,5.89,0.68,ml,7,140,0.247,0.23,mb,mb80347939,2019-06-12T14:09:51.820Z,"6km S of Townsend, Montana",earthquake,0.92,15.23,0.258,2,reviewed,mb,mb
2019-06-12T08:01:57.190Z,44.3811667,-111.0956667,13.88,1.28,ml,9,144,0.199,0.14,uu,uu60327427,2019-06-12T16:19:03.940Z,"23km WSW of Old Faithful Geyser, Wyoming",earthquake,0.72,1.34,0.139,2,reviewed,uu,uu
2019-06-12T07:54:50.175Z,62.0842,-147.7617,31.9,1.2,ml,,,,0.53,ak,ak0197hp3a9l,2019-06-12T07:57:24.088Z,"65km ENE of Sutton-Alpine, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-06-12T07:37:13.400Z,18.0446,-66.4561,6,1.38,md,5,252,0.1267,0.41,pr,pr2019163006,2019-06-12T11:55:50.571Z,"1km ENE of Rio Canas Abajo, Puerto Rico",earthquake,3.38,2.33,0.48,5,reviewed,pr,pr
2019-06-12T07:14:50.590Z,45.862,-111.353,5,0.8,ml,7,110,0.305,0.1,mb,mb80347954,2019-06-12T15:41:35.570Z,"1km WNW of Manhattan, Montana",earthquake,15.25,31.61,0.106,3,reviewed,mb,mb
2019-06-12T07:12:26.542Z,61.4538,-140.6792,0,1.4,ml,,,,0.89,ak,ak0197hou8cu,2019-06-12T07:17:06.006Z,"181km NNE of Cape Yakataga, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-06-12T07:11:07.360Z,34.0143333,-117.2275,8.18,1.67,ml,62,40,0.09207,0.2,ci,ci38636960,2019-06-12T07:14:52.428Z,"5km SE of Loma Linda, CA",earthquake,0.19,0.77,0.186,24,automatic,ci,ci
2019-06-12T07:07:31.540Z,44.3458333,-110.532,5.17,0.66,md,7,221,0.04467,0.16,uu,uu60327417,2019-06-12T16:58:13.000Z,"26km ESE of Old Faithful Geyser, Wyoming",earthquake,0.99,0.85,0.241,4,reviewed,uu,uu
2019-06-12T07:07:13.400Z,44.3551667,-110.5106667,2.34,-0.46,md,5,234,0.04191,0.12,uu,uu60018444,2019-06-12T17:08:30.880Z,"27km ESE of Old Faithful Geyser, Wyoming",earthquake,0.86,4.77,0.509,2,reviewed,uu,uu
2019-06-12T07:04:04.260Z,44.3576667,-110.512,3.57,0.34,md,6,232,0.03932,0.16,uu,uu60018439,2019-06-12T16:46:23.620Z,"27km ESE of Old Faithful Geyser, Wyoming",earthquake,1.1,1.7,0.356,3,reviewed,uu,uu
2019-06-12T07:03:12.730Z,44.356,-110.5113333,2.52,1.29,md,6,216,0.04096,0.22,uu,uu60018429,2019-06-12T16:35:34.050Z,"27km ESE of Old Faithful Geyser, Wyoming",earthquake,1.36,4.47,0.391,3,reviewed,uu,uu
2019-06-12T07:03:06.360Z,44.3398333,-110.529,4.99,-0.49,md,8,180,0.05098,0.13,uu,uu60327412,2019-06-12T16:35:00.360Z,"27km ESE of Old Faithful Geyser, Wyoming",earthquake,0.76,0.51,0.298,4,reviewed,uu,uu
2019-06-12T06:58:24.406Z,66.2461,-157.2252,8.2,1.3,ml,,,,1,ak,ak0197hoinjc,2019-06-12T07:01:12.325Z,"75km SSW of Kobuk, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-06-12T06:48:47.410Z,36.112,-117.6675,0.22,0.88,ml,24,74,0.08034,0.17,ci,ci38636952,2019-06-12T17:00:10.173Z,"26km ENE of Coso Junction, CA",earthquake,0.18,0.39,0.216,8,reviewed,ci,ci
2019-06-12T06:45:43.650Z,44.4036667,-110.507,3.99,0.53,md,3,193,0.02985,0.16,uu,uu60018424,2019-06-12T15:35:58.000Z,"26km ESE of Old Faithful Geyser, Wyoming",earthquake,3.61,31.61,0.455,2,reviewed,uu,uu
2019-06-12T06:45:35.010Z,44.3316667,-110.5285,6.42,1.5,md,9,183,0.05905,0.18,uu,uu60018419,2019-06-12T15:32:49.670Z,"27km ESE of Old Faithful Geyser, Wyoming",earthquake,1.01,1.02,0.443,6,reviewed,uu,uu
2019-06-12T06:45:19.670Z,44.3353333,-110.5255,5.25,0.75,md,9,183,0.05592,0.15,uu,uu60327407,2019-06-12T15:26:04.450Z,"27km ESE of Old Faithful Geyser, Wyoming",earthquake,0.73,1.16,0.136,5,reviewed,uu,uu
2019-06-12T06:44:52.280Z,44.3433333,-110.5268333,4.97,0,md,7,223,0.04793,0.13,uu,uu60018414,2019-06-12T15:29:43.270Z,"27km ESE of Old Faithful Geyser, Wyoming",earthquake,0.98,0.55,0.283,4,reviewed,uu,uu
2019-06-12T06:40:05.310Z,35.4911667,-118.344,1.29,2.16,ml,33,60,0.1722,0.2,ci,ci38636928,2019-06-12T06:43:43.502Z,"17km SE of Bodfish, CA",earthquake,0.26,0.83,0.189,27,automatic,ci,ci
2019-06-12T06:39:50.060Z,35.4891667,-118.342,1.6,1.44,ml,21,89,0.1712,0.21,ci,ci38636920,2019-06-12T06:43:24.841Z,"18km SE of Bodfish, CA",earthquake,0.33,1.15,0.153,23,automatic,ci,ci
2019-06-12T06:39:12.870Z,19.4071674,-155.2814941,-0.17,1.9,ml,21,42,0.01072,0.1,hv,hv70992151,2019-06-12T06:44:55.480Z,"5km WSW of Volcano, Hawaii",earthquake,0.16,0.24,1.97,15,automatic,hv,hv
2019-06-12T06:36:56.530Z,44.327,-110.5251667,5.94,1.68,ml,11,115,0.0641,0.2,uu,uu60327402,2019-06-12T14:58:15.300Z,"28km ESE of Old Faithful Geyser, Wyoming",earthquake,0.74,1.31,0.084,2,reviewed,uu,uu
2019-06-12T06:36:47.960Z,44.3546667,-110.5295,5.46,-0.17,md,6,217,0.0365,0.15,uu,uu60018404,2019-06-12T15:01:22.340Z,"26km ESE of Old Faithful Geyser, Wyoming",earthquake,1.22,0.82,0.111,4,reviewed,uu,uu
2019-06-12T06:36:33.700Z,44.3485,-110.5258333,5.32,-0.01,md,7,220,0.04316,0.13,uu,uu60018409,2019-06-12T15:04:30.390Z,"27km ESE of Old Faithful Geyser, Wyoming",earthquake,0.98,0.65,0.14,3,reviewed,uu,uu
2019-06-12T06:26:42.795Z,69.605,-144.8501,0,2,ml,,,,1.17,ak,ak0197hobu2r,2019-06-12T06:31:56.525Z,"75km SW of Kaktovik, Alaska",earthquake,,0.8,,,automatic,ak,ak
2019-06-12T06:20:27.851Z,61.4206,-149.9211,35.1,1.2,ml,,,,1.05,ak,ak0197hoail0,2019-06-12T06:30:15.781Z,"11km S of Big Lake, Alaska",earthquake,,2.3,,,automatic,ak,ak
2019-06-12T06:15:57.459Z,60.0533,-152.6764,91.6,2.2,ml,,,,0.62,ak,ak0197ho9i92,2019-06-12T10:02:07.520Z,"48km S of Redoubt Volcano, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-06-12T06:09:12.447Z,63.2674,-151.1611,0,1.4,ml,,,,0.59,ak,ak0197ho84ju,2019-06-12T06:16:10.315Z,"111km W of Cantwell, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-06-12T06:05:53.230Z,35.2725,-118.5725,4.42,0.91,ml,21,75,0.1038,0.16,ci,ci38636904,2019-06-12T16:35:27.445Z,"19km NW of Tehachapi, CA",earthquake,0.23,0.68,0.179,12,reviewed,ci,ci
2019-06-12T06:02:08.103Z,61.0675,-141.2577,35.1,1.2,ml,,,,0.92,ak,ak0197ho6m6i,2019-06-12T06:09:37.774Z,"128km NNE of Cape Yakataga, Alaska",earthquake,,0.7,,,automatic,ak,ak
